Sno,Initials,First_Name,Middle Name,Surname,Language_Main
53,,Iravati,,Machama,Kashmiri
54,,Bhuvan,,Sangra,Kashmiri
55,,Manjarika,,Akhoon,Kashmiri
56,,Lakhinandan,,Akhoon,Kashmiri
57,,Menila,,Munshi,Kashmiri
58,,Naren,,Raina,Kashmiri
59,,Sheen,,Khar,Kashmiri
60,,Dulal,,Sangra,Kashmiri
61,,Prithibi,,Durrani,Kashmiri
62,,Bapikaa,,Mirza,Kashmiri
63,,Mahendra,,Machama,Kashmiri
64,,Kayya,,Khar,Kashmiri
65,,Gauranga,,Bhat,Kashmiri
66,,Lakhinandan,,Tikkoo,Kashmiri
67,,Jayalaksmi,,Sangra,Kashmiri
68,,Lakshmikant,,Durrani,Kashmiri
69,,Sharda,,Durrani,Kashmiri
70,,Durgeswar,,Wani,Kashmiri
71,,Baneswar,,Padar,Kashmiri
72,,Harinarayan,,Talwar,Kashmiri
73,,Lothitaa,,Kanna,Kashmiri
74,,Pratul,,Sangra,Kashmiri
75,,Virendra,,Padar,Kashmiri
76,,Lakshmikant,,Draboo,Kashmiri
77,,Jatin,,Munshi,Kashmiri
78,,Dina,,Kanna,Kashmiri
79,,Dev,,Mirza,Kashmiri
80,,Ratnavali,,Mirza,Kashmiri
81,,Suyyah,,Wani,Kashmiri
82,,Nikunja,,Raina,Kashmiri
83,,Diddaa,,Akhoon,Kashmiri
84,,Banikant,,Machama,Kashmiri
85,,Smriti,,Draboo,Kashmiri
86,,Kongposh,,Machama,Kashmiri
87,,Saraswati,,Akhoon,Kashmiri
88,,Hari,,Sangra,Kashmiri
89,,Parveen,,Parimoo,Kashmiri
90,,Somnath,,Kanna,Kashmiri
91,,Nanda,,Chakoo,Kashmiri
92,,Shrilekhaa,,Bhat,Kashmiri
93,,Rihon,,Kanna,Kashmiri
94,,Srilekha,,Draboo,Kashmiri
95,,Benudhar,,Tikkoo,Kashmiri
96,,Sahjaa,,Sangra,Kashmiri
97,,Sansuma,,Durrani,Kashmiri
98,,Somnath,,Chakoo,Kashmiri
99,,Rajyashri,,Raina,Kashmiri
100,,Lakshmiram,,Khar,Kashmiri
101,,Harinarayan,,Munshi,Kashmiri
102,,Deep,,Khar,Kashmiri
103,,Banikant,,Mirza,Kashmiri
104,,Zubeen,,Khar,Kashmiri
105,,Vallabhaa,,Mirza,Kashmiri
106,,Padmalekha,,Tikkoo,Kashmiri
107,,Didda,,Akhoon,Kashmiri
108,,Amritlekhaa,,Durrani,Kashmiri
109,,Rockybul,,Chakoo,Kashmiri
110,,Nurjamal,,Mirza,Kashmiri
111,,Chandragupt,,Durrani,Kashmiri
112,,Parveen,,Khar,Kashmiri
113,,Chandan,,Akhoon,Kashmiri
114,,Gunalekha,,Parimoo,Kashmiri
115,,Shweta,,Raina,Kashmiri
116,,Narendraprabha,,Parimoo,Kashmiri
117,,Lalita,,Mirza,Kashmiri
118,,Nagalekha,,Mirza,Kashmiri
119,,Promode,,Draboo,Kashmiri
120,,Suryamati,,Mirza,Kashmiri
121,,Sahja,,Khar,Kashmiri
122,,Dinesh,,Machama,Kashmiri
123,,Surendravati,,Sangra,Kashmiri
124,,Dinesh,,Kanna,Kashmiri
125,,Aarti,,Mirza,Kashmiri
126,,Biren,,Parimoo,Kashmiri
127,,Upendranath,,Kanna,Kashmiri
128,,Hariram,,Draboo,Kashmiri
129,,Homen,,Mirza,Kashmiri
130,,Rhythma,,Kanna,Kashmiri
131,,Devlekhaa,,Machama,Kashmiri
132,,Mahendra,,Talwar,Kashmiri
133,,Binod,,Dar,Kashmiri
134,,Zubeen,,Raina,Kashmiri
135,,Preeti,,Khar,Kashmiri
136,,Prafulla,,Kanna,Kashmiri
137,,Jayamati,,Khar,Kashmiri
138,,Mahendra,,Tikkoo,Kashmiri
139,,Saraswati,,Raina,Kashmiri
140,,Lambodar,,Akhoon,Kashmiri
141,,Suryamati,,Bhat,Kashmiri
142,,Sulla,,Raina,Kashmiri
143,,Aarati,,Draboo,Kashmiri
144,,Lalita,,Chakoo,Kashmiri
145,,Jahnu,,Draboo,Kashmiri
146,,Chandrakanta,,Talwar,Kashmiri
147,,Kamalavati,,Sangra,Kashmiri
148,,Punim,,Chakoo,Kashmiri
149,,Rajalaksmi,,Durrani,Kashmiri
150,,Binod,,Parimoo,Kashmiri
151,,Virendra,,Bhat,Kashmiri
152,,Rupnath,,Talwar,Kashmiri
153,,Kushal,,Mirza,Kashmiri
154,,Nurjamal,,Tikkoo,Kashmiri
155,,Kalhanika,,Wani,Kashmiri
156,,Padmasri,,Machama,Kashmiri
157,,Aarati,,Mirza,Kashmiri
158,,Shradha,,Padar,Kashmiri
159,,Nurjamal,,Dar,Kashmiri
160,,Khalilur,,Talwar,Kashmiri
161,,Rhythma,,Raina,Kashmiri
162,,Mrigendra,,Raina,Kashmiri
163,,Fakaruddin,,Talwar,Kashmiri
164,,Shireen,,Tikkoo,Kashmiri
165,,Rajyasri,,Akhoon,Kashmiri
166,,Menila,,Mirza,Kashmiri
167,,Jaya,,Mirza,Kashmiri
168,,Rihon,,Mirza,Kashmiri
169,,Mohan,,Khar,Kashmiri
170,,Promode,,Chakoo,Kashmiri
171,,Maghavatii,,Munshi,Kashmiri
172,,Bhupen,,Munshi,Kashmiri
173,,Ratnaprabha,,Mirza,Kashmiri
174,,Samma,,Durrani,Kashmiri
175,,Bhuvaneswar,,Wani,Kashmiri
176,,Soni,,Sangra,Kashmiri
177,,Hagrama,,Parimoo,Kashmiri
178,,Sharda,,Munshi,Kashmiri
179,,Dimbeswar,,Khar,Kashmiri
180,,Nonikaa,,Durrani,Kashmiri
181,,Kayya,,Akhoon,Kashmiri
182,,Ratnavali,,Khar,Kashmiri
183,,Sansuma,,Dar,Kashmiri
184,,Purna,,Raina,Kashmiri
185,,Hemanga,,Draboo,Kashmiri
186,,Pramathesh,,Durrani,Kashmiri
187,,Rajyasri,,Machama,Kashmiri
188,,Mahendra,,Khar,Kashmiri
189,,Deependra,,Mirza,Kashmiri
190,,Anjanaa,,Talwar,Kashmiri
191,,Bijjaa,,Draboo,Kashmiri
192,,Sugala,,Kanna,Kashmiri
193,,Jyoti,,Talwar,Kashmiri
194,,Rajen,,Mirza,Kashmiri
195,,Somnath,,Machama,Kashmiri
196,,Jayalaksmi,,Wani,Kashmiri
197,,Bappika,,Kanna,Kashmiri
198,,Ganesh,,Draboo,Kashmiri
199,,Uddaa,,Kanna,Kashmiri
200,,Chandri,,Dar,Kashmiri
201,,Jayamati,,Wani,Kashmiri
202,,Saraswati,,Munshi,Kashmiri
203,,Bhupen,,Tikkoo,Kashmiri
204,,Bhabendra,,Munshi,Kashmiri
205,,Bhinnaa,,Machama,Kashmiri
206,,Sharadaa,,Khar,Kashmiri
207,,Hem,,Munshi,Kashmiri
208,,Shuhul,,Machama,Kashmiri
209,,Banikant,,Sangra,Kashmiri
210,,Moidul,,Draboo,Kashmiri
211,,Sheen,,Draboo,Kashmiri
212,,Kavita,,Raina,Kashmiri
213,,Ratna,,Khar,Kashmiri
214,,Vimala,,Wani,Kashmiri
215,,Dimbeswar,,Dar,Kashmiri
216,,Mala,,Dar,Kashmiri
217,,Gunalekha,,Sangra,Kashmiri
218,,Padmasri,,Raina,Kashmiri
219,,Jayalaksmi,,Raina,Kashmiri
220,,Ganga,,Chakoo,Kashmiri
221,,Iravati,,Parimoo,Kashmiri
222,,Iravati,,Mirza,Kashmiri
223,,Chandragupt,,Kanna,Kashmiri
224,,Saraswati,,Draboo,Kashmiri
225,,Chakradhwaj,,Tikkoo,Kashmiri
226,,Chamanlal,,Padar,Kashmiri
227,,Moidul,,Munshi,Kashmiri
228,,Ganga,,Draboo,Kashmiri
229,,Kamala,,Sangra,Kashmiri
230,,Isnadevi,,Sangra,Kashmiri
231,,Rihon,,Akhoon,Kashmiri
232,,Bhumidhar,,Draboo,Kashmiri
233,,Jahnu,,Bhat,Kashmiri
234,,Baneswar,,Machama,Kashmiri
235,,Keerti,,Bhat,Kashmiri
236,,Sarada,,Bhat,Kashmiri
237,,Bappika,,Wani,Kashmiri
238,,Sugala,,Machama,Kashmiri
239,,Sheen,,Kanna,Kashmiri
240,,Jahnu,,Mirza,Kashmiri
241,,Hemanga,,Raina,Kashmiri
242,,Bhumidhar,,Talwar,Kashmiri
243,,Jayadevii,,Machama,Kashmiri
244,,Sontosh,,Munshi,Kashmiri
245,,Sharadaa,,Wani,Kashmiri
246,,Pranab,,Chakoo,Kashmiri
247,,Chither,,Kanna,Kashmiri
248,,Arun,,Khar,Kashmiri
249,,Atul,,Mirza,Kashmiri
250,,Omadevii,,Padar,Kashmiri
251,,Rajyasri,,Sangra,Kashmiri
252,,Kamlesh,,Kanna,Kashmiri
253,,Pramathesh,,Raina,Kashmiri
254,,Jatindranath,,Wani,Kashmiri
255,,Mukund,,Munshi,Kashmiri
256,,Iravati,,Khar,Kashmiri
257,,Chandan,,Bhat,Kashmiri
258,,Sulla,,Draboo,Kashmiri
259,,Bhinnaa,,Talwar,Kashmiri
260,,Didda,,Khar,Kashmiri
261,,Pradyut,,Akhoon,Kashmiri
262,,Kamalavati,,Mirza,Kashmiri
263,,Bharat,,Wani,Kashmiri
264,,Lothitaa,,Parimoo,Kashmiri
265,,Zoongaash,,Akhoon,Kashmiri
266,,Kushal,,Kanna,Kashmiri
267,,Narendraprabha,,Machama,Kashmiri
268,,Iravati,,Kanna,Kashmiri
269,,Kamlesh,,Akhoon,Kashmiri
270,,Hiranya,,Raina,Kashmiri
271,,Moidul,,Tikkoo,Kashmiri
272,,Lalit,,Mirza,Kashmiri
273,,Durgeswar,,Durrani,Kashmiri
274,,Samit,,Akhoon,Kashmiri
275,,Gunadevi,,Raina,Kashmiri
276,,Krishnakant,,Machama,Kashmiri
277,,Durga,,Kanna,Kashmiri
278,,Promode,,Machama,Kashmiri
279,,Indraa,,Khar,Kashmiri
280,,Rhythma,,Munshi,Kashmiri
281,,Jayalaksmi,,Kanna,Kashmiri
282,,Anangalekha,,Durrani,Kashmiri
283,,Surendravati,,Machama,Kashmiri
284,,Chandramohan,,Talwar,Kashmiri
285,,Nagalata,,Mirza,Kashmiri
286,,Rupnath,,Mirza,Kashmiri
287,,Pramathesh,,Parimoo,Kashmiri
288,,Durgeswar,,Raina,Kashmiri
289,,Manikya,,Mirza,Kashmiri
290,,Sarbananda,,Mirza,Kashmiri
291,,Subhata,,Talwar,Kashmiri
292,,Narayan,,Chakoo,Kashmiri
293,,Ambikagiri,,Tikkoo,Kashmiri
294,,Hamsi,,Akhoon,Kashmiri
295,,Durga,,Durrani,Kashmiri
296,,Padmavati,,Draboo,Kashmiri
297,,Menila,,Machama,Kashmiri
298,,Benudhar,,Munshi,Kashmiri
299,,Robin,,Mirza,Kashmiri
300,,Bishnu,,Mirza,Kashmiri
301,,Sansuma,,Khar,Kashmiri
302,,Gyan,,Machama,Kashmiri
303,,Khalilur,,Draboo,Kashmiri
304,,Kapila,,Machama,Kashmiri
305,,Mukund,,Sangra,Kashmiri
306,,Zoongaash,,Wani,Kashmiri
307,,Bhola,,Machama,Kashmiri
308,,Arun,,Kanna,Kashmiri
309,,Ramanya,,Talwar,Kashmiri
310,,Sonia,,Akhoon,Kashmiri
311,,Kalindra,,Talwar,Kashmiri
312,,Chandrakanta,,Khar,Kashmiri
313,,Rameshwari,,Raina,Kashmiri
314,,Lambodar,,Draboo,Kashmiri
315,,Pratul,,Draboo,Kashmiri
316,,Susala,,Machama,Kashmiri
317,,Diddaa,,Chakoo,Kashmiri
318,,Sarbananda,,Bhat,Kashmiri
319,,Sulla,,Tikkoo,Kashmiri
320,,Anjana,,Talwar,Kashmiri
321,,Ranarambha,,Durrani,Kashmiri
322,,Preeti,,Munshi,Kashmiri
323,,Kalhanika,,Durrani,Kashmiri
324,,Munin,,Khar,Kashmiri
325,,Baneswar,,Durrani,Kashmiri
326,,Ghanshyam,,Mirza,Kashmiri
327,,Virendra,,Tikkoo,Kashmiri
328,,Chandrabhan,,Parimoo,Kashmiri
329,,Samir,,Akhoon,Kashmiri
330,,Chandravati,,Durrani,Kashmiri
331,,Bhumidhar,,Akhoon,Kashmiri
332,,Naren,,Dar,Kashmiri
333,,Doru,,Draboo,Kashmiri
334,,Bimbaa,,Sangra,Kashmiri
335,,Maheswar,,Chakoo,Kashmiri
336,,Somala,,Akhoon,Kashmiri
337,,Kapila,,Wani,Kashmiri
338,,Iraavatii,,Mirza,Kashmiri
339,,Nakul,,Talwar,Kashmiri
340,,Ramanya,,Wani,Kashmiri
341,,Damodara,,Dar,Kashmiri
342,,Nagalata,,Durrani,Kashmiri
343,,Ripun,,Talwar,Kashmiri
344,,Jogen,,Bhat,Kashmiri
345,,Banikant,,Khar,Kashmiri
346,,Aarati,,Munshi,Kashmiri
347,,Jayamati,,Draboo,Kashmiri
348,,Kayaa,,Draboo,Kashmiri
349,,Manikya,,Kanna,Kashmiri
350,,Lalita,,Durrani,Kashmiri
351,,Shradha,,Mirza,Kashmiri
352,,Kanjarikaa,,Parimoo,Kashmiri
353,,Shirin,,Durrani,Kashmiri
354,,Samit,,Bhat,Kashmiri
355,,Virendra,,Raina,Kashmiri
356,,Chandragupt,,Raina,Kashmiri
357,,Sulla,,Sangra,Kashmiri
358,,Aniruddh,,Sangra,Kashmiri
359,,Kushal,,Munshi,Kashmiri
360,,Rhythma,,Mirza,Kashmiri
361,,Bhumidhar,,Tikkoo,Kashmiri
362,,Padmalekha,,Sangra,Kashmiri
363,,Bhabendra,,Mirza,Kashmiri
364,,Kushal,,Bhat,Kashmiri
365,,Kavya,,Akhoon,Kashmiri
366,,Veena,,Talwar,Kashmiri
367,,Dasarath,,Sangra,Kashmiri
368,,Dasarath,,Dar,Kashmiri
369,,Veena,,Wani,Kashmiri
370,,Nikunja,,Durrani,Kashmiri
371,,Upendranath,,Parimoo,Kashmiri
372,,Bhushan,,Padar,Kashmiri
373,,Mohan,,Munshi,Kashmiri
374,,Bhuvanamati,,Mirza,Kashmiri
375,,Ganga,,Khar,Kashmiri
376,,Aarati,,Mirza,Kashmiri
377,,Jayadevii,,Mirza,Kashmiri
378,,Rajalakshmi,,Dar,Kashmiri
379,,Nagalata,,Talwar,Kashmiri
380,,Dasarath,,Bhat,Kashmiri
381,,Subhata,,Draboo,Kashmiri
382,,Subrata,,Bhat,Kashmiri
383,,Madhav,,Kanna,Kashmiri
384,,Manju,,Dar,Kashmiri
385,,Nagalataa,,Dar,Kashmiri
386,,Atul,,Munshi,Kashmiri
387,,Sugandha,,Tikkoo,Kashmiri
388,,Anil,,Mirza,Kashmiri
389,,Gunadevi,,Munshi,Kashmiri
390,,Anjana,,Dar,Kashmiri
391,,Veena,,Akhoon,Kashmiri
392,,Hamsii,,Raina,Kashmiri
393,,Gunadevi,,Machama,Kashmiri
394,,Madhav,,Machama,Kashmiri
395,,Bhabendra,,Draboo,Kashmiri
396,,Animesh,,Talwar,Kashmiri
397,,Harinarayan,,Draboo,Kashmiri
398,,Jaishree,,Talwar,Kashmiri
399,,Rajalakshmi,,Padar,Kashmiri
400,,Ranarambha,,Munshi,Kashmiri
401,,Gauranga,,Talwar,Kashmiri
402,,Bhumidhar,,Mirza,Kashmiri
403,,Sugala,,Draboo,Kashmiri
404,,Baneswar,,Tikkoo,Kashmiri
405,,Sammaa,,Dar,Kashmiri
406,,Bappatadevi,,Padar,Kashmiri
407,,Dulal,,Parimoo,Kashmiri
408,,Didda,,Tikkoo,Kashmiri
409,,Ambikagiri,,Wani,Kashmiri
410,,Sharda,,Mirza,Kashmiri
411,,Narendraprabha,,Bhat,Kashmiri
412,,Kalyana,,Chakoo,Kashmiri
413,,Kirip,,Bhat,Kashmiri
414,,Rajalaksmi,,Akhoon,Kashmiri
415,,Asha,,Akhoon,Kashmiri
416,,Deep,,Mirza,Kashmiri
417,,Bishnu,,Bhat,Kashmiri
418,,Haridev,,Akhoon,Kashmiri
419,,Chandrabhan,,Akhoon,Kashmiri
420,,Rihon,,Raina,Kashmiri
421,,Jayamatii,,Munshi,Kashmiri
422,,Lalit,,Dar,Kashmiri
423,,Amarendra,,Raina,Kashmiri
424,,Padmalekha,,Mirza,Kashmiri
425,,Asamati,,Padar,Kashmiri
426,,Debendra,,Mirza,Kashmiri
427,,Munin,,Dar,Kashmiri
428,,Meghavali,,Tikkoo,Kashmiri
429,,Pradyut,,Mirza,Kashmiri
430,,Hemanga,,Kanna,Kashmiri
431,,Robin,,Mirza,Kashmiri
432,,Dharmeswar,,Machama,Kashmiri
433,,Kongposh,,Mirza,Kashmiri
434,,Sugandha,,Sangra,Kashmiri
435,,Nagalekha,,Durrani,Kashmiri
436,,Parakasa,,Munshi,Kashmiri
437,,Candalaa,,Machama,Kashmiri
438,,Digen,,Bhat,Kashmiri
439,,Sahja,,Mirza,Kashmiri
440,,Maghavatii,,Kanna,Kashmiri
441,,Yasomati,,Akhoon,Kashmiri
442,,Ratnaprabha,,Parimoo,Kashmiri
443,,Upendranath,,Akhoon,Kashmiri
444,,Anil,,Chakoo,Kashmiri
445,,Mrigavati,,Mirza,Kashmiri
446,,Shrilekhaa,,Munshi,Kashmiri
447,,Indraa,,Draboo,Kashmiri
448,,Hamsii,,Mirza,Kashmiri
449,,Maheswar,,Kanna,Kashmiri
450,,Rajyashri,,Mirza,Kashmiri
451,,Benudhar,,Raina,Kashmiri
452,,Rajen,,Akhoon,Kashmiri
453,,Pradyut,,Dar,Kashmiri
454,,Bijoy,,Talwar,Kashmiri
455,,Aarti,,Dar,Kashmiri
456,,Kumudalekha,,Durrani,Kashmiri
457,,Mrigavati,,Parimoo,Kashmiri
458,,Bijjaa,,Khar,Kashmiri
459,,Nikunja,,Padar,Kashmiri
460,,Gopinath,,Padar,Kashmiri
461,,Jyoti,,Mirza,Kashmiri
462,,Biren,,Khar,Kashmiri
463,,Kayya,,Raina,Kashmiri
464,,Sarbananda,,Draboo,Kashmiri
465,,Zubeen,,Draboo,Kashmiri
466,,Aarti,,Munshi,Kashmiri
467,,Isnadevi,,Tikkoo,Kashmiri
468,,Maheswar,,Akhoon,Kashmiri
469,,Kishori,,Dar,Kashmiri
470,,Nirupama,,Mirza,Kashmiri
471,,Digen,,Khar,Kashmiri
472,,Bijjaa,,Padar,Kashmiri
473,,Dev,,Chakoo,Kashmiri
474,,Chandramohan,,Munshi,Kashmiri
475,,Rupnath,,Padar,Kashmiri
476,,Chandramauli,,Padar,Kashmiri
477,,Sonth,,Raina,Kashmiri
478,,Rameshwari,,Draboo,Kashmiri
479,,Tanka,,Munshi,Kashmiri
480,,Deep,,Talwar,Kashmiri
481,,Indradevi,,Mirza,Kashmiri
482,,Kushal,,Wani,Kashmiri
483,,Kalyana,,Parimoo,Kashmiri
484,,Kalhanika,,Raina,Kashmiri
485,,Dina,,Chakoo,Kashmiri
486,,Mrigavati,,Khar,Kashmiri
487,,Bhupendra,,Dar,Kashmiri
488,,Hamsii,,Bhat,Kashmiri
489,,Manikya,,Sangra,Kashmiri
490,,Bharat,,Dar,Kashmiri
491,,Dimbeswar,,Talwar,Kashmiri
492,,Kalindra,,Mirza,Kashmiri
493,,Nagalata,,Akhoon,Kashmiri
494,,Sulla,,Talwar,Kashmiri
495,,Sahja,,Talwar,Kashmiri
496,,Jaya,,Parimoo,Kashmiri
497,,Munin,,Sangra,Kashmiri
498,,Subhata,,Chakoo,Kashmiri
499,,Srilekha,,Khar,Kashmiri
500,,Debendra,,Dar,Kashmiri
501,,Mala,,Sangra,Kashmiri
502,,Gunalekha,,Khar,Kashmiri
503,,Jaishree,,Mirza,Kashmiri
504,,Aarti,,Kanna,Kashmiri
505,,Bhuvan,,Draboo,Kashmiri
506,,Mrigavati,,Mirza,Kashmiri
507,,Manju,,Padar,Kashmiri
508,,Bhinnaa,,Khar,Kashmiri
509,,Ambikaputrika,,Talwar,Kashmiri
510,,Indraa,,Durrani,Kashmiri
511,,Kapila,,Padar,Kashmiri
512,,Padmavati,,Munshi,Kashmiri
513,,Hem,,Tikkoo,Kashmiri
514,,Bijoy,,Munshi,Kashmiri
515,,Sambavati,,Wani,Kashmiri
516,,Shirin,,Parimoo,Kashmiri
517,,Nirupama,,Raina,Kashmiri
518,,Padmavati,,Khar,Kashmiri
519,,Doru,,Khar,Kashmiri
520,,Kumudalekha,,Akhoon,Kashmiri
521,,Khalilur,,Mirza,Kashmiri
522,,Maghavatii,,Bhat,Kashmiri
523,,Nurjamal,,Raina,Kashmiri
524,,Jogen,,Sangra,Kashmiri
525,,Jyoti,,Akhoon,Kashmiri
526,,Kalhanika,,Parimoo,Kashmiri
527,,Kumudalekha,,Dar,Kashmiri
528,,Bhinnaa,,Padar,Kashmiri
529,,Jyoti,,Sangra,Kashmiri
530,,Bijjaa,,Mirza,Kashmiri
531,,Rhythma,,Sangra,Kashmiri
532,,Heeposh,,Tikkoo,Kashmiri
533,,Asha,,Khar,Kashmiri
534,,Heeposh,,Padar,Kashmiri
535,,Chandravati,,Wani,Kashmiri
536,,Rockybul,,Talwar,Kashmiri
537,,Nanda,,Durrani,Kashmiri
538,,Susala,,Sangra,Kashmiri
539,,Nurjamal,,Draboo,Kashmiri
540,,Rajalaksmi,,Mirza,Kashmiri
541,,Aniruddh,,Chakoo,Kashmiri
542,,Jatindranath,,Draboo,Kashmiri
543,,Gopinath,,Tikkoo,Kashmiri
544,,Subrata,,Talwar,Kashmiri
545,,Damodara,,Machama,Kashmiri
546,,Vishnu,,Mirza,Kashmiri
547,,Purna,,Padar,Kashmiri
548,,Dulal,,Wani,Kashmiri
549,,Rajen,,Munshi,Kashmiri
550,,Sweta,,Kanna,Kashmiri
551,,Meghavali,,Machama,Kashmiri
552,,Hariram,,Akhoon,Kashmiri
553,,Manju,,Munshi,Kashmiri
554,,Upendranath,,Talwar,Kashmiri
555,,Samma,,Talwar,Kashmiri
556,,Vallabhaa,,Talwar,Kashmiri
557,,Hariram,,Mirza,Kashmiri
558,,Jayamatii,,Talwar,Kashmiri
559,,Tanka,,Akhoon,Kashmiri
560,,Shrilekha,,Mirza,Kashmiri
561,,Manjarika,,Wani,Kashmiri
562,,Kanjarikaa,,Padar,Kashmiri
563,,Bharat,,Durrani,Kashmiri
564,,Chandramauli,,Sangra,Kashmiri
565,,Amarendra,,Machama,Kashmiri
566,,Ganesh,,Kanna,Kashmiri
567,,Indradevi,,Kanna,Kashmiri
568,,Asha,,Chakoo,Kashmiri
569,,Hari,,Padar,Kashmiri
570,,Kanjarikaa,,Wani,Kashmiri
571,,Kalyana,,Sangra,Kashmiri
572,,Soni,,Draboo,Kashmiri
573,,Hari,,Kanna,Kashmiri
574,,Candrii,,Akhoon,Kashmiri
575,,Rajyashri,,Akhoon,Kashmiri
576,,Shireen,,Mirza,Kashmiri
577,,Dharmeswar,,Parimoo,Kashmiri
578,,Fakaruddin,,Durrani,Kashmiri
579,,Ratna,,Mirza,Kashmiri
580,,Chandri,,Sangra,Kashmiri
581,,Dev,,Raina,Kashmiri
582,,Somala,,Khar,Kashmiri
583,,Manju,,Talwar,Kashmiri
584,,Padmavati,,Mirza,Kashmiri
585,,Diddaa,,Wani,Kashmiri
586,,Rajalaksmi,,Parimoo,Kashmiri
587,,Munin,,Draboo,Kashmiri
588,,Kavita,,Mirza,Kashmiri
589,,Chandrakanta,,Machama,Kashmiri
590,,Bhuvanamati,,Talwar,Kashmiri
591,,Krishnakant,,Talwar,Kashmiri
592,,Kalyana,,Mirza,Kashmiri
593,,Nidhi,,Bhat,Kashmiri
594,,Kamalavati,,Dar,Kashmiri
595,,Jayamatii,,Parimoo,Kashmiri
596,,Kalindra,,Dar,Kashmiri
597,,Parakasa,,Akhoon,Kashmiri
598,,Girja,,Raina,Kashmiri
599,,Ratna,,Chakoo,Kashmiri
600,,Ambikaputrika,,Munshi,Kashmiri
601,,Subrata,,Sangra,Kashmiri
602,,Kayaa,,Parimoo,Kashmiri
603,,Padmalekha,,Parimoo,Kashmiri
604,,Nakul,,Bhat,Kashmiri
605,,Mrigavati,,Bhat,Kashmiri
606,,Ratna,,Sangra,Kashmiri
607,,Pratul,,Kanna,Kashmiri
608,,Manikya,,Tikkoo,Kashmiri
609,,Kalicharan,,Khar,Kashmiri
610,,Shirin,,Khar,Kashmiri
611,,Samit,,Sangra,Kashmiri
612,,Damodara,,Akhoon,Kashmiri
613,,Chandramohan,,Bhat,Kashmiri
614,,Rajyasri,,Chakoo,Kashmiri
615,,Nirmal,,Parimoo,Kashmiri
616,,Anjana,,Mirza,Kashmiri
617,,Hari,,Dar,Kashmiri
618,,Surendravati,,Wani,Kashmiri
619,,Anangalekha,,Draboo,Kashmiri
620,,Vimala,,Chakoo,Kashmiri
621,,Hem,,Mirza,Kashmiri
622,,Haridev,,Draboo,Kashmiri
623,,Mrigavati,,Draboo,Kashmiri
624,,Sarbananda,,Akhoon,Kashmiri
625,,Bhuvan,,Khar,Kashmiri
626,,Harinarayan,,Tikkoo,Kashmiri
627,,Hariram,,Mirza,Kashmiri
628,,Candrii,,Durrani,Kashmiri
629,,Rajalakshmi,,Parimoo,Kashmiri
630,,Jagannath,,Talwar,Kashmiri
631,,Surendravati,,Chakoo,Kashmiri
632,,Bappika,,Khar,Kashmiri
633,,Birinchi,,Akhoon,Kashmiri
634,,Vishnu,,Sangra,Kashmiri
635,,Haridev,,Raina,Kashmiri
636,,Sonia,,Durrani,Kashmiri
637,,Shrilekha,,Padar,Kashmiri
638,,Baldev,,Tikkoo,Kashmiri
